P_1,W192-NEWPORT BEACH BLUE
P_2,L192-PATRIOT NAVY
P_3,W191-DIABLO A
P_4,L191-STANFORD A
P_5,W186-NEXT GEN BLACK
P_6,L186-LAGUNA BEACH
P_7,W185-LAMORINDA A
P_8,L185-SAN CLEMENTE RED
P_9,W182-SB 805 A
P_10,L182-GREENWICH
P_11,W181-SD SHORES BLACK
P_12,L181-BACK BAY
P_13,W178-LB SHORE AQUATICS
P_14,L178-908
P_15,W177-DAVIS BLUE
P_16,L177-680 RED A
P_17,W170-COMMERCE
P_18,L170-SB 805 B
P_19,W169-ROGUE 619
P_20,L169-SAN CLEMENTE BLACK B
P_21,CHANNEL ISLANDS GOLD
P_22,SOUTH COAST RED
P_23,SAN JOSE EXPRESS
P_24,SOCAL
G_25,W190-LAMORINDA B
G_26,L190-THUNDER
G_27,W189-ARROYO GRANDE
G_28,L189-NORTH IRVINE
G_29,W187-AMERICAN RIVER
G_30,L187-NEWPORT BEACH WHITE B
G_31,W188-HONOLULU
G_32,L188-SHAQ
G_33,W183-TSUNAMI
G_34,L183-ECA
G_35,W184-SANTA CRUZ
G_36,L184-LAMORINDA C
G_37,W179-DEL MAR
G_38,L179-SD SHORES GOLD
G_39,W180-STANFORD B
G_40,L180-SEASIDE
G_41,W175-680 BLUE B
G_42,L175-DAVIS WHITE
G_43,W176-CC UNITED BLACK A
G_44,L176-CHICAGO PARKS
G_45,CLOVIS
G_46,BROOKLYN HUSTLE
G_47,PRAETORIAN
G_48,PUNAHOU